Deuteronomy 1:1,אלה הדברים אשר דבר משה אל־כל־ישראל בעבר הירדן במדבר בערבה מול סוף בין־פארן ובין־תפל ולבן וחצרת ודי זהב,1.13,34.88,1,18,32.68,1.82
Deuteronomy 1:2,אחד עשר יום מחרב דרך הר־שעיר עד קדש ברנע,34.88,46.95,2,9,10.96,1.22
Deuteronomy 1:3,ויהי בארבעים שנה בעשתי־עשר חדש באחד לחדש דבר משה אל־בני ישראל ככל אשר צוה יהוה אתו אלהם,46.95,74.38,3,17,26.3,1.55
Deuteronomy 1:4,אחרי הכתו את סיחן מלך האמרי אשר יושב בחשבון ואת עוג מלך הבשן אשר־יושב בעשתרת באדרעי,74.38,98.03,4,16,22.5,1.41
Deuteronomy 1:5,בעבר הירדן בארץ מואב הואיל משה באר את־התורה הזאת לאמר,98.03,113.12,5,10,13.96,1.4
Deuteronomy 1:6,יהוה אלהינו דבר אלינו בחרב לאמר רב־לכם שבת בהר הזה,113.12,127.21,6,10,12.89,1.29
Deuteronomy 1:7,פנו וסעו לכם ובאו הר האמרי ואל־כל־שכניו בערבה בהר ובשפלה ובנגב ובחוף הים ארץ הכנעני והלבנון עד־הנהר הגדל נהר־פרת,127.21,160.55,7,19,32.08,1.69
Deuteronomy 1:8,ראה נתתי לפניכם את־הארץ באו ורשו את־הארץ אשר נשבע יהוה לאבתיכם לאברהם ליצחק וליעקב לתת להם ולזרעם אחריהם,160.55,192.91,8,18,31.23,1.74
Deuteronomy 1:9,ואמר אלכם בעת ההוא לאמר לא־אוכל לבדי שאת אתכם,192.91,205.56,9,9,11.53,1.28
Deuteronomy 1:10,יהוה אלהיכם הרבה אתכם והנכם היום ככוכבי השמים לרב,205.56,218.85,10,9,12.14,1.35
Deuteronomy 1:11,יהוה אלהי אבותכם יסף עליכם ככם אלף פעמים ויברך אתכם כאשר דבר לכם,218.85,241.94,11,13,21.92,1.69
Deuteronomy 1:12,איכה אשא לבדי טרחכם ומשאכם וריבכם,241.94,252.08,12,6,8.89000000000002,1.48
Deuteronomy 1:13,הבו לכם אנשים חכמים ונבנים וידעים לשבטיכם ואשימם בראשיכם,252.08,269.98,13,9,16.76,1.86
Deuteronomy 1:14,ותענו אתי ותאמרו טוב־הדבר אשר־דברת לעשות,269.98,281.25,14,6,10,1.67
Deuteronomy 1:15,ואקח את־ראשי שבטיכם אנשים חכמים וידעים ואתן אתם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרת ושטרים לשבטיכם,281.25,317.09,15,20,34.72,1.74
Deuteronomy 1:16,ואצוה את־שפטיכם בעת ההוא לאמר שמע בין־אחיכם ושפטתם צדק בין־איש ובין־אחיו ובין גרו,317.09,336.1,16,13,17.89,1.38
Deuteronomy 1:17,לא־תכירו פנים במשפט כקטן כגדל תשמעון לא תגורו מפני־איש כי המשפט לאלהים הוא והדבר אשר יקשה מכם תקרבון אלי ושמעתיו,336.1,367.52,17,20,30.22,1.51
Deuteronomy 1:18,ואצוה אתכם בעת ההוא את כל־הדברים אשר תעשון,367.52,378.36,18,8,9.67000000000002,1.21
Deuteronomy 1:19,ונסע מחרב ונלך את כל־המדבר הגדול והנורא ההוא אשר ראיתם דרך הר האמרי כאשר צוה יהוה אלהינו אתנו ונבא עד קדש ברנע,378.36,419,19,22,39.47,1.79
Deuteronomy 1:20,ואמר אלכם באתם עד־הר האמרי אשר־יהוה אלהינו נתן לנו,419,432.55,20,9,12.42,1.38
Deuteronomy 1:21,ראה נתן יהוה אלהיך לפניך את־הארץ עלה רש כאשר דבר יהוה אלהי אבתיך לך אל־תירא ואל־תחת,432.55,466.02,21,16,32.28,2.02
Deuteronomy 1:22,ותקרבון אלי כלכם ותאמרו נשלחה אנשים לפנינו ויחפרו־לנו את־הארץ וישבו אתנו דבר את־הדרך אשר נעלה־בה ואת הערים אשר נבא אליהן,466.02,503.33,22,20,36.19,1.81
Deuteronomy 1:23,וייטב בעיני הדבר ואקח מכם שנים עשר אנשים איש אחד לשבט,503.33,518.23,23,11,13.57,1.23
Deuteronomy 1:24,ויפנו ויעלו ההרה ויבאו עד־נחל אשכל וירגלו אתה,518.23,531.67,24,8,12.23,1.53
Deuteronomy 1:25,ויקחו בידם מפרי הארץ ויורדו אלינו וישבו אתנו דבר ויאמרו טובה הארץ אשר־יהוה אלהינו נתן לנו,531.67,554.98,25,16,22.1600000000001,1.39
Deuteronomy 1:26,ולא אביתם לעלת ותמרו את־פי יהוה אלהיכם,554.98,569.1,26,7,12.9399999999999,1.85
Deuteronomy 1:27,ותרגנו באהליכם ותאמרו בשנאת יהוה אתנו הוציאנו מארץ מצרים לתת אתנו ביד האמרי להשמידנו,569.1,594.38,27,14,24.03,1.72
Deuteronomy 1:28,אנה אנחנו עלים אחינו המסו את־לבבנו לאמר עם גדול ורם ממנו ערים גדלת ובצורת בשמים וגם־בני ענקים ראינו שם,594.38,626.8,28,19,31.1799999999999,1.64
Deuteronomy 1:29,ואמר אלכם לא־תערצון ולא־תיראון מהם,626.8,636.83,29,5,8.81000000000006,1.76
Deuteronomy 1:30,יהוה אלהיכם ההלך לפניכם הוא ילחם לכם ככל אשר עשה אתכם במצרים לעיניכם,636.83,659.49,30,13,21.49,1.65
Deuteronomy 1:31,ובמדבר אשר ראית אשר נשאך יהוה אלהיך כאשר ישא־איש את־בנו בכל־הדרך אשר הלכתם עד־באכם עד־המקום הזה,659.49,684.62,31,16,23.92,1.5
Deuteronomy 1:32,ובדבר הזה אינכם מאמינם ביהוה אלהיכם,684.62,696.27,32,6,10.52,1.75
Deuteronomy 1:33,ההלך לפניכם בדרך לתור לכם מקום לחנתכם באש לילה לראתכם בדרך אשר תלכו־בה ובענן יומם,696.27,724.48,33,15,27.11,1.81
Deuteronomy 1:34,וישמע יהוה את־קול דבריכם ויקצף וישבע לאמר,724.48,734.99,34,7,9.38999999999999,1.34
Deuteronomy 1:35,אם־יראה איש באנשים האלה הדור הרע הזה את הארץ הטובה אשר נשבעתי לתת לאבתיכם,734.99,755.23,35,14,19.0699999999999,1.36
Deuteronomy 1:36,זולתי כלב בן־יפנה הוא יראנה ולו־אתן את־הארץ אשר דרך־בה ולבניו יען אשר מלא אחרי יהוה,755.23,780.93,36,15,24.5699999999999,1.64
